"",,,,,Inequality measures
"",,,,Richest,Richest
"",,,Share of income or consumption,10% to,20% to
"",Survey,,(%),poorest,poorest
HDI rank,year,Poorest 10%,Poorest 20% Richest 20% Richest 10%,10% a,20% a Gini index b
High human development,,,,,
1 Norway,1995 c,4.1,9.7 35.8 21.8,5.3,3.7 25.8
2 Iceland,..,..,.. .. ..,..,.. ..
3 Sweden,1995 c,3.4,9.1 34.5 20.1,5.9,3.8 25.0
4 Australia,1994 c,2.0,5.9 41.3 25.4,12.5,7.0 35.2
5 Netherlands,1994 c,2.8,7.3 40.1 25.1,9.0,5.5 32.6
6 Belgium,1996 c,2.9,8.3 37.3 22.6,7.8,4.5 25.0
7 United States,1997 c,1.8,5.2 46.4 30.5,16.6,9.0 40.8
8 Canada,1997 c,2.7,7.3 39.3 23.9,9.0,5.4 31.5
9 Japan,1993 c,4.8,10.6 35.7 21.7,4.5,3.4 24.9
10 Switzerland,1992 c,2.6,6.9 40.3 25.2,9.9,5.8 33.1
11 Denmark,1997 c,2.6,8.3 35.8 21.3,8.1,4.3 24.7
12 Ireland,1987 c,2.5,6.7 42.9 27.4,11.0,6.4 35.9
13 United Kingdom,1995 c,2.1,6.1 43.2 27.5,13.4,7.1 36.0
14 Finland,1995 c,4.1,10.1 35.0 20.9,5.1,3.5 25.6
15 Luxembourg,1998 c,3.2,8.0 39.7 24.7,7.7,4.9 30.8
16 Austria,1995 c,2.3,7.0 37.9 22.4,9.8,5.5 30.5
17 France,1995 c,2.8,7.2 40.2 25.1,9.1,5.6 32.7
18 Germany,1998 c,2.0,5.7 44.7 28.0,14.2,7.9 38.2
19 Spain,1990 c,2.8,7.5 40.3 25.2,9.0,5.4 32.5
20 New Zealand,1997 c,2.2,6.4 43.8 27.8,12.5,6.8 36.2
21 Italy,1998 c,1.9,6.0 42.6 27.4,14.5,7.1 36.0
22 Israel,1997 c,2.4,6.9 44.3 28.2,11.7,6.4 35.5
23 Portugal,1997 c,2.0,5.8 45.9 29.8,15.0,8.0 38.5
24 Greece,1998 c,2.9,7.1 43.6 28.5,10.0,6.2 35.4
25 Cyprus,..,..,.. .. ..,..,.. ..
"26 Hong Kong, China (SAR)",1996 c,2.0,5.3 50.7 34.9,17.8,9.7 43.4
27 Barbados,..,..,.. .. ..,..,.. ..
28 Singapore,1998 c,1.9,5.0 49.0 32.8,17.7,9.7 42.5
29 Slovenia,1998 c,3.9,9.1 37.7 23.0,5.8,4.1 28.4
"30 Korea, Rep. of",1998 c,2.9,7.9 37.5 22.5,7.8,4.7 31.6
31 Brunei Darussalam,..,..,.. .. ..,..,.. ..
32 Czech Republic,1996 c,4.3,10.3 35.9 22.4,5.2,3.5 25.4
33 Malta,..,..,.. .. ..,..,.. ..
34 Argentina,..,..,.. .. ..,..,.. ..
35 Poland,1998 d,3.2,7.8 39.7 24.7,7.8,5.1 31.6
36 Seychelles,..,..,.. .. ..,..,.. ..
37 Bahrain,..,..,.. .. ..,..,.. ..
38 Hungary,1998 d,4.1,10.0 34.4 20.5,5.0,3.5 24.4
39 Slovakia,1996 c,3.1,8.8 34.8 20.9,6.7,4.0 25.8
40 Uruguay e,1998 c,1.6,4.5 50.4 33.8,21.6,11.2 44.8
41 Estonia,1998 c,3.0,7.0 45.1 29.8,10.0,6.5 37.6
42 Costa Rica f,1997 c,1.7,4.5 51.0 34.6,20.7,11.5 45.9
43 Chile,1998 c,1.1,3.2 61.3 45.4,43.2,19.3 57.5
44 Qatar,..,..,.. .. ..,..,.. ..
45 Lithuania,2000 d,3.2,7.9 40.0 24.9,7.9,5.1 36.3
46 Kuwait,..,..,.. .. ..,..,.. ..
47 Croatia,2001 d,3.4,8.3 39.6 24.5,7.3,4.8 29.0
48 United Arab Emirates,..,..,.. .. ..,..,.. ..
49 Bahamas,..,..,.. .. ..,..,.. ..
50 Latvia,1998 c,2.9,7.6 40.3 25.9,8.9,5.3 32.4
"",,,,,Inequality measures
"",,,,Richest,Richest
"",,,Share of income or consumption,10% to,20% to
"",Survey,,(%),poorest,poorest
HDI rank,year,Poorest 10%,Poorest 20% Richest 20% Richest 10%,10% a,20% a Gini index b
51 Saint Kitts and Nevis,..,..,.. .. ..,..,.. ..
52 Cuba,..,..,.. .. ..,..,.. ..
53 Belarus,2000 d,3.5,8.4 39.1 24.1,6.9,4.6 30.4
54 Trinidad and Tobago,1992 c,2.1,5.5 45.9 29.9,14.4,8.3 40.3
55 Mexico,1998 c,1.2,3.4 57.6 41.6,34.6,17.0 51.9
Medium human development,,,,,
56 Antigua and Barbuda,..,..,.. .. ..,..,.. ..
57 Bulgaria,2001 c,2.4,6.7 38.9 23.7,9.9,5.8 31.9
58 Malaysia,1997 c,1.7,4.4 54.3 38.4,22.1,12.4 49.2
59 Panama,1997 d,1.2,3.6 52.8 35.7,29.8,14.7 48.5
"60 Macedonia, TFYR",1998 d,3.3,8.4 36.7 22.1,6.8,4.4 28.2
61 Libyan Arab Jamahiriya,..,..,.. .. ..,..,.. ..
62 Mauritius,..,..,.. .. ..,..,.. ..
63 Russian Federation,2000 d,1.8,4.9 51.3 36.0,20.3,10.5 45.6
64 Colombia f,1996 c,1.1,3.0 60.9 46.1,42.7,20.3 57.1
65 Brazil f,1998 c,0.7,2.2 64.1 48.0,65.8,29.7 60.7
66 Bosnia and Herzegovina,..,..,.. .. ..,..,.. ..
67 Belize,..,..,.. .. ..,..,.. ..
68 Dominica,..,..,.. .. ..,..,.. ..
69 Venezuela f,1998 c,0.8,3.0 53.2 36.5,44.0,17.7 49.5
70 Samoa (Western),..,..,.. .. ..,..,.. ..
71 Saint Lucia,1995 c,2.0,5.2 48.3 32.5,16.2,9.2 42.6
72 Romania,2000 d,3.3,8.2 38.4 23.6,7.2,4.7 30.3
73 Saudi Arabia,..,..,.. .. ..,..,.. ..
74 Thailand,2000 d,2.5,6.1 50.0 33.8,13.4,8.3 43.2
75 Ukraine,1999 d,3.7,8.8 37.8 23.2,6.4,4.3 29.0
76 Kazakhstan,2001 d,3.4,8.2 39.6 24.2,7.1,4.8 31.2
77 Suriname,..,..,.. .. ..,..,.. ..
78 Jamaica,2000 d,2.7,6.7 46.0 30.3,11.4,6.9 37.9
79 Oman,..,..,.. .. ..,..,.. ..
80 St. Vincent & the Grenadines,..,..,.. .. ..,..,.. ..
81 Fiji,..,..,.. .. ..,..,.. ..
82 Peru,1996 c,1.6,4.4 51.2 35.4,22.3,11.7 46.2
83 Lebanon,..,..,.. .. ..,..,.. ..
84 Paraguay,1998 c,0.5,1.9 60.7 43.8,91.1,31.8 57.7
85 Philippines,2000 d,2.2,5.4 52.3 36.3,16.5,9.7 46.1
86 Maldives,..,..,.. .. ..,..,.. ..
87 Turkmenistan,1998 d,2.6,6.1 47.5 31.7,12.3,7.7 40.8
88 Georgia,2000 d,2.2,6.0 45.2 29.3,13.4,7.6 38.9
89 Azerbaijan,2001 d,3.1,7.4 44.5 29.5,9.7,6.0 36.5
90 Jordan,1997 d,3.3,7.6 44.4 29.8,9.1,5.9 36.4
91 Tunisia,1995 d,2.3,5.7 47.9 31.8,13.8,8.5 41.7
92 Guyana,1999 d,1.3,4.5 49.7 33.8,25.9,11.1 44.6
93 Grenada,..,..,.. .. ..,..,.. ..
94 Dominican Republic,1998 c,2.1,5.1 53.3 37.9,17.7,10.5 47.4
95 Albania,..,..,.. .. ..,..,.. ..
96 Turkey,2000 d,2.3,6.1 46.7 30.7,13.3,7.7 40.0
97 Ecuador f,1995 d,2.2,5.4 49.7 33.8,15.4,9.2 43.7
98 Occupied Palestinian Territories,..,..,.. .. ..,..,.. ..
99 Sri Lanka,1995 d,3.5,8.0 42.8 28.0,7.9,5.3 34.4
100 Armenia,1998 d,2.6,6.7 45.1 29.7,11.5,6.8 37.9
"",,,,,Inequality measures
"",,,,Richest,Richest
"",,,Share of income or consumption,10% to,20% to
"",Survey,,(%),poorest,poorest
HDI rank,year,Poorest 10%,Poorest 20% Richest 20% Richest 10%,10% a,20% a Gini index b
101 Uzbekistan,2000 d,3.6,9.2 36.3 22.0,6.1,4.0 26.8
102 Kyrgyzstan,2001 d,3.9,9.1 38.3 23.3,6.0,4.2 29.0
103 Cape Verde,..,..,.. .. ..,..,.. ..
104 China,1998 c,2.4,5.9 46.6 30.4,12.7,8.0 40.3
105 El Salvador,1998 c,1.2,3.3 56.4 39.4,33.6,17.3 50.8
"106 Iran, Islamic Rep. of",1998 d,2.0,5.1 49.9 33.7,17.2,9.7 43.0
107 Algeria,1995 d,2.8,7.0 42.6 26.8,9.6,6.1 35.3
"108 Moldova, Rep. of",2001 d,2.8,7.1 43.7 28.4,10.2,6.2 36.2
109 Viet Nam,1998 d,3.6,8.0 44.5 29.9,8.4,5.6 36.1
110 Syrian Arab Republic,..,..,.. .. ..,..,.. ..
111 South Africa,1995 d,0.7,2.0 66.5 46.9,65.1,33.6 59.3
112 Indonesia,2000 d,3.6,8.4 43.3 28.5,7.8,5.2 30.3
113 Tajikistan,1998 d,3.2,8.0 40.0 25.2,8.0,5.0 34.7
114 Bolivia,1999 d,1.3,4.0 49.1 32.0,24.6,12.3 44.7
115 Honduras,1998 c,0.5,2.0 61.0 44.4,91.8,30.3 59.0
116 Equatorial Guinea,..,..,.. .. ..,..,.. ..
117 Mongolia,1998 d,2.1,5.6 51.2 37.0,17.8,9.1 44.0
118 Gabon,..,..,.. .. ..,..,.. ..
119 Guatemala f,1998 c,1.6,3.8 60.6 46.0,29.1,15.8 55.8
120 Egypt,1999 d,3.7,8.6 43.6 29.5,8.0,5.1 34.4
121 Nicaragua,1998 d,0.7,2.3 63.6 48.8,70.7,27.9 60.3
122 São Tomé and Principe,..,..,.. .. ..,..,.. ..
123 Solomon Islands,..,..,.. .. ..,..,.. ..
124 Namibia,1993 c,0.5,1.4 78.7 64.5,128.8,56.1 70.7
125 Botswana,1993 d,0.7,2.2 70.3 56.6,77.6,31.5 63.0
126 Morocco,1998-99 d,2.6,6.5 46.6 30.9,11.7,7.2 39.5
127 India,1997 d,3.5,8.1 46.1 33.5,9.5,5.7 37.8
128 Vanuatu,..,..,.. .. ..,..,.. ..
129 Ghana,1999 d,2.1,5.6 46.6 30.0,14.1,8.4 39.6
130 Cambodia,1997 d,2.9,6.9 47.6 33.8,11.6,6.9 40.4
131 Myanmar,..,..,.. .. ..,..,.. ..
132 Papua New Guinea,1996 d,1.7,4.5 56.5 40.5,23.8,12.6 50.9
133 Swaziland,1994 c,1.0,2.7 64.4 50.2,49.7,23.8 60.9
134 Comoros,..,..,.. .. ..,..,.. ..
135 Lao People’s Dem. Rep.,1997 d,3.2,7.6 45.0 30.6,9.7,6.0 37.0
136 Bhutan,..,..,.. .. ..,..,.. ..
137 Lesotho,1995 d,0.5,1.4 70.7 53.6,117.8,50.0 56.0
138 Sudan,..,..,.. .. ..,..,.. ..
139 Bangladesh,2000 d,3.9,9.0 41.3 26.7,6.8,4.6 31.8
140 Congo,..,..,.. .. ..,..,.. ..
141 Togo,..,..,.. .. ..,..,.. ..
Low human development,,,,,
142 Cameroon,1996 d,1.8,4.6 53.0 36.5,20.0,11.4 47.7
143 Nepal,1995-96 d,3.2,7.6 44.8 29.8,9.3,5.9 36.7
144 Pakistan,1998-99 d,3.7,8.8 42.3 28.3,7.6,4.8 33.0
145 Zimbabwe,1995 d,1.8,4.6 55.7 40.3,22.0,12.0 56.8
146 Kenya,1997 d,2.3,5.6 51.2 36.1,15.6,9.1 44.5
147 Uganda,1996 d,3.0,7.1 44.9 29.8,9.9,6.4 37.4
148 Yemen,1998 d,3.0,7.4 41.2 25.9,8.6,5.6 33.4
149 Madagascar,1999 d,2.5,6.4 44.8 28.6,11.4,7.0 46.0
150 Haiti,..,..,.. .. ..,..,.. ..
151 Gambia,1998 d,1.5,4.0 55.2 38.0,25.4,13.8 47.8
"",,,,,Inequality measures
"",,,,Richest,Richest
"",,,Share of income or consumption,10% to,20% to
"",Survey,,(%),poorest,poorest
HDI rank,year,Poorest 10%,Poorest 20% Richest 20% Richest 10%,10% a,20% a Gini index b
152 Nigeria,1996-97 d,1.6,4.4 55.7 40.8,24.9,12.8 50.6
153 Djibouti,..,..,.. .. ..,..,.. ..
154 Mauritania,1995 d,2.5,6.4 44.1 28.4,11.2,6.9 37.3
155 Eritrea,..,..,.. .. ..,..,.. ..
156 Senegal,1995 d,2.6,6.4 48.2 33.5,12.8,7.5 41.3
157 Guinea,1994 d,2.6,6.4 47.2 32.0,12.3,7.3 40.3
158 Rwanda,1983-85 d,4.2,9.7 39.1 24.2,5.8,4.0 28.9
159 Benin,..,..,.. .. ..,..,.. ..
"160 Tanzania, U. Rep. of",1993 d,2.8,6.8 45.5 30.1,10.8,6.7 38.2
161 Côte d’Ivoire,1995 d,3.1,7.1 44.3 28.8,9.4,6.2 36.7
162 Malawi,1997 d,1.9,4.9 56.1 42.2,22.7,11.6 50.3
163 Zambia,1998 d,1.1,3.3 56.6 41.0,36.6,17.3 52.6
164 Angola,..,..,.. .. ..,..,.. ..
165 Chad,..,..,.. .. ..,..,.. ..
166 Guinea-Bissau,1993 d,2.1,5.2 53.4 39.3,19.0,10.3 47.0
"167 Congo, Dem. Rep. of the",..,..,.. .. ..,..,.. ..
168 Central African Republic,1993 d,0.7,2.0 65.0 47.7,69.2,32.7 61.3
169 Ethiopia,2000 c,0.7,2.4 60.8 43.8,59.7,24.8 57.2
170 Mozambique,1996-97 d,2.5,6.5 46.5 31.7,12.5,7.2 39.6
171 Burundi,1998 d,1.7,5.1 48.0 32.8,19.3,9.5 33.3
172 Mali,1994 d,1.8,4.6 56.2 40.4,23.1,12.2 50.5
173 Burkina Faso,1998 d,1.8,4.5 60.7 46.3,26.2,13.6 48.2
174 Niger,1995 d,0.8,2.6 53.3 35.4,46.0,20.7 50.5
175 Sierra Leone,1989 d,0.5,1.1 63.4 43.6,87.2,57.6 62.9
